Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Tansey, J., Gee, D., Leach, M., Ravetz, J., Scott, A., Stirling, A., Szerszynski, B., Wakeford, T.","Hasty energy review risks failing to win public trust [1]",2006,"Nature","440","7081",,"148","",,2,10.1038/440148a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644864150&partnerID=40&md5=dfbd9029433a2e781d81b24a98a2bbc3","James Martin Institute for Science and Civilization, Saïd Business School, Park End Street, Oxford OX1 1HP, United Kingdom; European Environment Agency, Denmark; Institute of Development Studies, University of Sussex, United Kingdom; James Martin Institute for Science and Civilization, United Kingdom; The Knowledge Bridge, East Sussex, United Kingdom; Science and Technology Policy Research, University of Sussex, United Kingdom; Centre for the Study of Environmental Change, Lancaster University, United Kingdom; Policy, Ethics and Life Sciences Research Centre, University of Newcastle Upon Tyne, United Kingdom","Tansey, J., James Martin Institute for Science and Civilization, Saïd Business School, Park End Street, Oxford OX1 1HP, United Kingdom; Gee, D., European Environment Agency, Denmark; Leach, M., Institute of Development Studies, University of Sussex, United Kingdom; Ravetz, J., James Martin Institute for Science and Civilization, United Kingdom; Scott, A., The Knowledge Bridge, East Sussex, United Kingdom; Stirling, A., Science and Technology Policy Research, University of Sussex, United Kingdom; Szerszynski, B., Centre for the Study of Environmental Change, Lancaster University, United Kingdom; Wakeford, T., Policy, Ethics and Life Sciences Research Centre, University of Newcastle Upon Tyne, United Kingdom",[No abstract available],,"energy; climate change; energy; government; letter; nuclear energy; priority journal; technology; United Kingdom",,,,,,,"Tansey, J.; James Martin Institute for Science and Civilization, Saïd Business School, Park End Street, Oxford OX1 1HP, United Kingdom",,,"Nature Publishing Group",,,,,00280836,,NATUA,,"English","Nature",Letter,Scopus,2-s2.0-33644864150
"Wakeford, T.","Coming a cropper",1998,"New Scientist","158","2129",,"46","47",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748739279&partnerID=40&md5=46c162c146670eb0c02e0f9803ca3c31","Faculty of Science and Health, University of East London, United Kingdom","Wakeford, T., Faculty of Science and Health, University of East London, United Kingdom",[No abstract available],,,,,,,,,"Faculty of Science and Health, University of East LondonUnited Kingdom",,,,,,,,02624079,,NWSCA,,"English","New Sci.",Article,Scopus,2-s2.0-33748739279
"Wakeford, T.","We are the fungus",1997,"New Scientist","154","2081",,"49","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748716568&partnerID=40&md5=4bcfd9346c39063f30443edd68229296","University of East London, United Kingdom","Wakeford, T., University of East London, United Kingdom",[No abstract available],,,,,,,,,"University of East LondonUnited Kingdom",,,,,,,,02624079,,NWSCA,,"English","New Sci.",Article,Scopus,2-s2.0-33748716568
"Wakeford, T.","All the fun of the fest",1997,"New Scientist","153","2072",,"47","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748735245&partnerID=40&md5=2d24c1043af779f9e7e5655294e2cea3","Department of Environmental Sciences and Mathematics, University of East London, United Kingdom","Wakeford, T., Department of Environmental Sciences and Mathematics, University of East London, United Kingdom",[No abstract available],,,,,,,,,"Department of Environmental Sciences and Mathematics, University of East LondonUnited Kingdom",,,,,,,,02624079,,NWSCA,,"English","New Sci.",Article,Scopus,2-s2.0-33748735245
