Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Argüeso, C., Huot, B., Kim, P., Lundberg, D., Halane, M., Serrano, I., Innes, R., Mudgett, M.B.","XVI Congress on Molecular Plant-Microbe Interactions Meeting Report",2014,"Molecular Plant-Microbe Interactions","27","11S",,"S1","S5",,,10.1094/MPMI-27-11-S1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910616211&partnerID=40&md5=c4e4ae10ed8c676d40d40bab1a2e6c7f",Conference Paper,Scopus,2-s2.0-84910616211
"Bhattacharjee, S., Halane, M.K., Kim, S.H., Gassmann, W.","Pathogen effectors target Arabidopsis EDS1 and alter its interactions with immune regulators",2011,"Science","334","6061",,"1405","1408",,91,10.1126/science.1211592,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83255188814&partnerID=40&md5=4ceb977a1302b67f19c5d76c68a49940",Article,Scopus,2-s2.0-83255188814
