Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mukherjee, P., Banerjee, S., Wheeler, A., Ratliff, L.A., Irigoyen, S., Garcia, L.R., Lockless, S.W., Versaw, W.K.","Live imaging of inorganic phosphate in plants with cellular and subcellular resolution",2015,"Plant Physiology","167","3",,"628","638",,,10.1104/pp.114.254003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923673217&partnerID=40&md5=0bee755adad7976bffb5c4cb0ff5d78f",Article,Scopus,2-s2.0-84923673217
"Karlsson, P.M., Herdean, A., Adolfsson, L., Beebo, A., Nziengui, H., Irigoyen, S., Ünnep, R., Zsiros, O., Nagy, G., Garab, G., Aronsson, H., Versaw, W.K., Spetea, C.","The Arabidopsis thylakoid transporter PHT4;1 influences phosphate availability for ATP synthesis and plant growth",2015,"Plant Journal","84","1",,"99","110",,,10.1111/tpj.12962,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942824476&partnerID=40&md5=0d9e7d7477a0217e3c8a4b8375612eb1",Article,Scopus,2-s2.0-84942824476
"Irigoyen, S., Karlsson, P.M., Kuruvilla, J., Spetea, C., Versaw, W.K.","The sink-specific plastidic phosphate transporter PHT4;2 influences starch accumulation and leaf size in Arabidopsis",2011,"Plant Physiology","157","4",,"1765","1777",,8,10.1104/pp.111.181925,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82755171849&partnerID=40&md5=42154ec1263c8cb2592a0be8d10e779f",Article,Scopus,2-s2.0-82755171849
